t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
31,31,2,1,12.1389479637146,13.799290583003312,0.38027883297763765,3.103071541991085,5.4279597499989904,4.575740583008155,0.2521310830488801,12.139064332994167,26.323169165989384,optimized,,680265,218360,9355292,0.0,41,4020.4411233845794,4020.4411491134274,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,43,13,0,30
32,32,2,1,13.013148069381714,13.799908125016373,0.3789289589622058,3.195095333037898,5.852903833030723,4.0131415000068955,0.26192250003805384,13.013258999970276,27.1964554170263,optimized,,680265,218360,9655292,0.0,44,4047.376189533769,4047.376218075131,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,38,11,0,27
33,33,2,1,10.703327894210815,14.165054792014416,0.3819030410377309,3.211029709025752,6.044681166997179,4.187502167013008,0.2630944999982603,10.703451959008817,25.254894291982055,optimized,,680265,218360,10287532,0.0,36,4020.823484823194,4020.8234872019084,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,38,15,0,23
34,34,2,1,9.051228046417236,14.390298165963031,0.3801260420004837,3.2741638750303537,5.691950000007637,4.719745166017674,0.2586171249859035,9.051365791994613,23.826135167037137,optimized,,680265,218360,9364092,0.0,32,4016.8555670962346,4016.8555726687514,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,29,10,0,19
35,35,2,1,11.648408889770508,14.389202625025064,0.3805916670244187,2.9908285409910604,6.654092916985974,4.034844790992793,0.26270666701020673,11.648528249992523,26.4231144170044,optimized,,680265,218360,9342012,0.0,43,4119.341338752934,4119.341355233392,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,22,7,0,15
36,36,2,1,13.086272954940796,13.837058292003348,0.379767999984324,3.079131208010949,6.14449404203333,3.906988791015465,0.2606404580292292,13.086379791959189,27.307525540993083,optimized,,680265,218360,9174812,0.0,51,3976.6497602761606,3976.6497630585022,2,0,0,-1,1,2,1,680265,1305,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,28,11,0,17
37,37,2,1,11.317967176437378,13.895538207958452,0.3794525419943966,3.2580904589849524,5.869101082964335,4.060554415977094,0.25244349997956306,11.318087958963588,25.597787416016217,optimized,,680265,218360,9338892,0.0,42,3885.104990434258,3885.1050152205157,2,0,0,-1,1,2,1,680265,1310,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,27,12,0,15
38,38,2,1,8.540648937225342,14.832807375001721,0.3790860419976525,3.3384525000001304,6.615582125028595,4.167852166981902,0.26156695798272267,8.540795249980874,23.757566625019535,optimized,,680265,218360,9579132,0.0,32,4008.645600703132,4008.6456061211297,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,20,9,0,11
39,39,2,1,9.007039070129395,14.529487750027329,0.37776287499582395,3.260762459016405,6.51083733298583,4.041079291026108,0.26374037499772385,9.007174667029176,23.920015792013146,optimized,,680265,218360,9602252,0.0,33,3902.128131837472,3902.1281437387515,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,22,15,0,7
40,40,2,1,9.642624855041504,14.689011999987997,0.38251545903040096,3.2118784159538336,5.799882541992702,4.9583417500252835,0.25740712496917695,9.642756417044438,24.718858000007458,optimized,,680265,218360,9645452,0.0,33,3935.7639688518634,3935.763996432627,2,0,0,-1,1,2,1,680265,1315,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,21,15,0,6
